movie_id,title,genre,rating,budget_million,gross_million,director,lead_actor,release_year
1.0,Movie 1,Thriller,4.2,100.0,,Cameron,,2017.0
2.0,Movie 2,Sci-Fi,7.8,150.0,150.0,Nolan,Actor B,2019.0
3.0,Movie 3,Thriller,4.9,30.0,600.0,Spielberg,Actor D,2016.0
4.0,Movie 4,Thriller,9.1,100.0,600.0,Rajamouli,Actor D,2015.0
5.0,Movie 5,Sci-Fi,4.5,10.0,600.0,Cameron,Actor C,2022.0
6.0,Movie 6,Romance,7.2,,600.0,Scorsese,Actor C,2019.0
7.0,Movie 7,Horror,8.5,30.0,,,Actor D,2017.0
8.0,Movie 8,Comedy,7.8,60.0,20.0,Spielberg,Actor B,2018.0
9.0,Movie 9,Romance,8.3,,20.0,Cameron,Actor A,2018.0
10.0,Movie 10,Sci-Fi,5.0,,20.0,Spielberg,Actor B,2019.0
11.0,Movie 11,Thriller,9.4,,,Scorsese,Actor B,2017.0
12.0,Movie 12,Comedy,7.9,,80.0,,Actor A,2018.0
13.0,Movie 13,Thriller,5.8,,20.0,,Actor D,2015.0
14.0,Movie 14,Drama,7.7,150.0,150.0,Cameron,Actor E,2021.0
15.0,Movie 15,Comedy,8.9,100.0,150.0,Cameron,Actor E,2021.0
16.0,Movie 16,Action,3.7,,,Rajamouli,,2022.0
,Movie 17,Horror,3.7,60.0,150.0,,Actor B,
18.0,Movie 18,Drama,9.2,100.0,600.0,Spielberg,Actor E,2017.0
19.0,Movie 19,Drama,,,80.0,Cameron,Actor B,2020.0
20.0,Movie 20,Action,3.9,60.0,150.0,Tarantino,Actor C,2018.0
21.0,Movie 21,Thriller,8.6,10.0,,,Actor B,2020.0
22.0,Movie 22,Sci-Fi,7.5,100.0,150.0,Scorsese,Actor D,2017.0
23.0,Movie 23,Comedy,4.9,100.0,300.0,Nolan,Actor C,2022.0
24.0,Movie 24,Drama,5.6,100.0,300.0,Tarantino,Actor A,2017.0
25.0,Movie 24,Horror,5.3,30.0,80.0,Cameron,Actor D,2017.0
26.0,Movie 26,Fantasy,7.1,,20.0,Tarantino,,2020.0
27.0,Movie 27,Action,8.6,60.0,80.0,,Actor D,2020.0
28.0,Movie 28,Action,7.2,10.0,300.0,Nolan,,2016.0
29.0,Movie 29,Romance,8.5,60.0,20.0,Nolan,Actor B,2020.0
30.0,Movie 30,Fantasy,7.4,,80.0,,Actor D,2019.0
31.0,Movie 31,Drama,4.4,30.0,150.0,Rajamouli,,2016.0
32.0,Movie 32,Action,8.1,100.0,,Rajamouli,Actor C,2022.0
33.0,Movie 33,Sci-Fi,7.6,,80.0,Scorsese,Actor E,2016.0
,Movie 34,Horror,6.9,150.0,300.0,Tarantino,Actor D,
35.0,Movie 35,Comedy,4.8,100.0,600.0,Scorsese,Actor B,2022.0
36.0,Movie 36,Horror,8.4,150.0,20.0,Cameron,,2017.0
37.0,Movie 37,Action,6.1,100.0,300.0,,Actor B,2015.0
38.0,Movie 38,Romance,,100.0,600.0,Scorsese,Actor E,2016.0
39.0,Movie 39,Romance,5.4,60.0,80.0,Cameron,Actor B,
40.0,Movie 40,Horror,4.7,100.0,80.0,Spielberg,Actor D,2020.0
41.0,Movie 41,Sci-Fi,9.5,60.0,20.0,Spielberg,Actor D,2016.0
42.0,Movie 42,Action,5.8,60.0,,Nolan,Actor D,2016.0
43.0,Movie 43,Drama,7.5,150.0,300.0,Rajamouli,Actor B,2019.0
44.0,Movie 44,Comedy,4.5,150.0,150.0,Cameron,Actor C,
45.0,Movie 45,Romance,6.3,150.0,,Tarantino,Actor E,2019.0
46.0,Movie 46,Horror,4.1,60.0,600.0,Scorsese,Actor D,2015.0
