movie_id,title,genre,rating,budget_million,gross_million,director,lead_actor,release_year,profit
1,Movie 1,Thriller,4.2,100.0,0.0,Cameron,Unknown,2017,-100.0
2,Movie 10,Sci-Fi,5.0,60.0,20.0,Spielberg,Actor B,2019,-40.0
3,Movie 1001,Comedy,6.4,60.0,20.0,Rajamouli,Actor D,2021,-40.0
4,Movie 1002,Comedy,7.6,60.0,150.0,Cameron,Unknown,2018,90.0
5,Movie 1003,Sci-Fi,9.1,150.0,150.0,Spielberg,Actor C,2019,0.0
6,Movie 1004,Action,7.2,10.0,80.0,Unknown,Actor B,2015,70.0
7,Movie 1005,Thriller,4.0,30.0,0.0,Spielberg,Actor D,2015,-30.0
8,Movie 1006,Horror,9.2,60.0,300.0,Unknown,Actor D,2021,240.0
9,Movie 1007,Horror,6.42,30.0,300.0,Rajamouli,Actor A,2015,270.0
10,Movie 1008,Horror,7.2,60.0,150.0,Spielberg,Actor A,2018,90.0
11,Movie 1009,Action,5.3,10.0,20.0,Rajamouli,Actor D,2015,10.0
12,Movie 101,Sci-Fi,8.1,60.0,0.0,Nolan,Actor D,2020,-60.0
13,Movie 1010,Comedy,8.1,60.0,80.0,Scorsese,Actor C,2022,20.0
14,Movie 1011,Comedy,4.2,150.0,300.0,Scorsese,Unknown,2017,150.0
15,Movie 1012,Sci-Fi,3.7,30.0,150.0,Cameron,Actor A,2019,120.0
16,Movie 1013,Sci-Fi,8.4,150.0,300.0,Spielberg,Actor D,2018,150.0
17,Movie 1014,Drama,7.7,60.0,300.0,Nolan,Unknown,2022,240.0
18,Movie 1015,Romance,5.8,30.0,20.0,Nolan,Actor A,2015,-10.0
19,Movie 1016,Romance,4.7,10.0,600.0,Nolan,Actor A,2020,590.0
20,Movie 1017,Action,3.6,60.0,150.0,Unknown,Actor B,2015,90.0
21,Movie 1018,Action,5.6,60.0,80.0,Unknown,Unknown,2018,20.0
22,Movie 1019,Romance,7.4,100.0,80.0,Unknown,Actor D,2017,-20.0
23,Movie 102,Sci-Fi,5.1,10.0,300.0,Scorsese,Actor E,2020,290.0
24,Movie 1020,Action,8.3,60.0,150.0,Tarantino,Actor B,2018,90.0
25,Movie 1021,Sci-Fi,6.2,10.0,80.0,Scorsese,Unknown,2018,70.0
26,Movie 1022,Horror,8.9,30.0,0.0,Rajamouli,Actor C,2022,-30.0
27,Movie 1023,Horror,8.1,100.0,0.0,Cameron,Unknown,2022,-100.0
28,Movie 1024,Horror,7.7,30.0,20.0,Spielberg,Actor B,2019,-10.0
29,Movie 1024,Sci-Fi,6.2,60.0,300.0,Spielberg,Unknown,2020,240.0
30,Movie 1026,Romance,6.48,100.0,20.0,Spielberg,Actor B,2020,-80.0
31,Movie 1027,Drama,8.7,60.0,300.0,Scorsese,Actor C,2022,240.0
32,Movie 1028,Thriller,7.6,60.0,20.0,Tarantino,Actor C,2020,-40.0
33,Movie 1029,Fantasy,8.7,100.0,0.0,Spielberg,Actor C,2020,-100.0
34,Movie 103,Drama,8.0,60.0,80.0,Scorsese,Actor D,2017,20.0
35,Movie 1030,Romance,8.6,60.0,20.0,Cameron,Actor C,2015,-40.0
36,Movie 1031,Drama,8.2,100.0,0.0,Cameron,Actor C,2022,-100.0
37,Movie 1032,Drama,6.2,60.0,20.0,Unknown,Unknown,2019,-40.0
38,Movie 1033,Thriller,5.4,30.0,80.0,Unknown,Actor D,2015,50.0
39,Movie 1034,Romance,6.1,10.0,600.0,Rajamouli,Actor B,2020,590.0
40,Movie 1035,Fantasy,8.3,10.0,0.0,Unknown,Unknown,2022,-10.0
41,Movie 1036,Horror,6.6,150.0,300.0,Nolan,Actor D,2018,150.0
42,Movie 1037,Fantasy,5.1,60.0,300.0,Nolan,Unknown,2015,240.0
43,Movie 1038,Comedy,9.0,150.0,150.0,Unknown,Actor D,2018,0.0
44,Movie 1039,Horror,6.6,30.0,80.0,Cameron,Actor B,2015,50.0
45,Movie 104,Drama,4.9,100.0,600.0,Tarantino,Unknown,2018,500.0
46,Movie 1040,Action,5.0,60.0,600.0,Cameron,Actor B,2022,540.0
47,Movie 1041,Romance,4.4,60.0,300.0,Scorsese,Actor C,2022,240.0
48,Movie 1042,Comedy,4.5,60.0,0.0,Unknown,Actor A,2018,-60.0
49,Movie 1043,Romance,4.5,60.0,80.0,Tarantino,Actor B,2016,20.0
50,Movie 1044,Sci-Fi,4.9,150.0,80.0,Rajamouli,Actor A,2020,-70.0
51,Movie 1045,Drama,6.47,150.0,20.0,Scorsese,Unknown,2018,-130.0
52,Movie 1046,Action,7.5,150.0,80.0,Rajamouli,Actor E,2022,-70.0
53,Movie 1047,Thriller,8.1,30.0,300.0,Spielberg,Actor D,2018,270.0
54,Movie 1048,Thriller,3.8,10.0,300.0,Nolan,Actor D,2021,290.0
55,Movie 1049,Romance,7.8,30.0,20.0,Rajamouli,Unknown,2016,-10.0
56,Movie 1049,Thriller,7.1,60.0,20.0,Unknown,Actor D,2020,-40.0
57,Movie 105,Sci-Fi,6.1,60.0,600.0,Rajamouli,Unknown,2016,540.0
58,Movie 1051,Thriller,3.9,100.0,600.0,Scorsese,Actor E,2018,500.0
59,Movie 1052,Action,5.0,10.0,600.0,Spielberg,Actor E,2020,590.0
60,Movie 1053,Romance,8.0,10.0,80.0,Tarantino,Actor D,2020,70.0
61,Movie 1054,Comedy,5.3,60.0,80.0,Scorsese,Actor E,2018,20.0
62,Movie 1055,Romance,7.1,30.0,600.0,Rajamouli,Unknown,2017,570.0
63,Movie 1056,Comedy,8.6,60.0,300.0,Cameron,Actor A,2015,240.0
64,Movie 1057,Horror,5.1,150.0,150.0,Spielberg,Actor C,2021,0.0
65,Movie 1058,Drama,8.9,10.0,300.0,Scorsese,Actor B,2019,290.0
66,Movie 1059,Thriller,7.0,30.0,150.0,Spielberg,Actor E,2019,120.0
67,Movie 106,Drama,6.6,100.0,0.0,Unknown,Actor E,2017,-100.0
68,Movie 1060,Horror,6.4,10.0,80.0,Unknown,Unknown,2018,70.0
69,Movie 1061,Drama,7.5,100.0,300.0,Scorsese,Actor C,2020,200.0
70,Movie 1062,Drama,5.4,150.0,150.0,Spielberg,Actor C,2018,0.0
71,Movie 1063,Thriller,5.3,100.0,600.0,Nolan,Actor D,2018,500.0
72,Movie 1064,Drama,6.47,30.0,300.0,Nolan,Actor B,2019,270.0
73,Movie 1065,Comedy,8.0,150.0,600.0,Cameron,Unknown,2016,450.0
74,Movie 1066,Fantasy,4.9,60.0,80.0,Rajamouli,Actor A,2016,20.0
75,Movie 1067,Romance,5.4,100.0,80.0,Spielberg,Actor C,2021,-20.0
76,Movie 1068,Sci-Fi,4.6,10.0,20.0,Scorsese,Actor E,2022,10.0
77,Movie 1069,Thriller,7.8,60.0,0.0,Cameron,Unknown,2019,-60.0
78,Movie 107,Drama,3.8,60.0,20.0,Scorsese,Actor A,2017,-40.0
79,Movie 1070,Romance,4.9,100.0,600.0,Scorsese,Unknown,2020,500.0
80,Movie 1071,Romance,9.2,30.0,600.0,Rajamouli,Actor C,2019,570.0
81,Movie 1072,Thriller,7.7,150.0,80.0,Spielberg,Actor C,2019,-70.0
82,Movie 1073,Sci-Fi,7.5,150.0,80.0,Spielberg,Actor D,2021,-70.0
83,Movie 1074,Romance,7.3,60.0,150.0,Tarantino,Actor B,2018,90.0
84,Movie 1074,Comedy,8.3,60.0,300.0,Scorsese,Actor A,2021,240.0
85,Movie 1076,Thriller,6.0,10.0,300.0,Nolan,Unknown,2018,290.0
86,Movie 1077,Action,4.0,30.0,80.0,Spielberg,Actor D,2019,50.0
87,Movie 1078,Action,8.4,30.0,300.0,Scorsese,Actor A,2018,270.0
88,Movie 1079,Horror,8.9,10.0,300.0,Unknown,Actor A,2017,290.0
89,Movie 108,Drama,4.1,60.0,150.0,Nolan,Actor D,2017,90.0
90,Movie 1080,Horror,6.6,10.0,80.0,Nolan,Actor B,2017,70.0
91,Movie 1081,Drama,9.2,10.0,600.0,Scorsese,Unknown,2018,590.0
92,Movie 1082,Romance,8.7,150.0,600.0,Cameron,Actor C,2016,450.0
93,Movie 1083,Action,6.59,150.0,150.0,Nolan,Actor B,2017,0.0
94,Movie 1084,Romance,4.0,60.0,300.0,Tarantino,Actor A,2022,240.0
95,Movie 1085,Action,5.7,10.0,600.0,Cameron,Actor D,2022,590.0
96,Movie 1086,Comedy,5.6,60.0,0.0,Unknown,Unknown,2018,-60.0
97,Movie 1087,Fantasy,8.2,10.0,300.0,Unknown,Actor A,2019,290.0
98,Movie 1088,Romance,4.6,60.0,150.0,Tarantino,Actor B,2016,90.0
99,Movie 1089,Thriller,4.3,30.0,0.0,Spielberg,Unknown,2019,-30.0
